State,Year,Total_Pub_Under,4y_Pub_Under,2y_Pub_Under,Total_Pub_Postbacc,Total_Priv_Under,Np_4y_Priv_Under,Fp_4y_Priv_Under,Np_2y_Priv_Under,Fp_2y_Priv_Under,Total_Priv_Postbacc,Np_4y_Priv_Postbacc,Fp_4y_Priv_Postbacc,Total_Enrollment
Marshall Islands,2018-19,1119,1119,0,0,0,0,0,0,0,0,0,0,1119
Marshall Islands,2019-20,985,985,0,0,0,0,0,0,0,0,0,0,985
Marshall Islands,2020-21,1162,1162,0,0,0,0,0,0,0,0,0,0,1162
Maryland,2012-13,265180,120166,145014,45323,37305,29564,5057,0,2684,26688,25353,1335,302485
Maryland,2013-14,258014,119171,138843,43551,36367,29304,4378,0,2685,25839,24624,1215,294381
Maryland,2014-15,262022,128285,133737,43134,34661,28098,4129,0,2434,25780,24724,1056,296683
Maryland,2015-16,260457,130862,129595,43097,33281,26873,3899,0,2509,27096,26191,905,293738
Maryland,2016-17,262794,138358,124436,42956,31264,26063,3162,0,2039,28653,27818,835,294058
Maryland,2017-18,260371,141252,119119,43269,30985,25783,2793,0,2409,29582,28864,718,291356
Maryland,2018-19,259256,143509,115747,42703,29367,25512,2565,0,1290,30116,29500,616,288623
Maryland,2019-20,253636,140337,113299,41153,29858,25674,2684,0,1500,30266,29726,540,283494
Maryland,2020-21,247147,138970,108177,40352,28662,24736,2344,0,1582,31893,31477,416,275809
Massachusetts,2012-13,201040,95746,105294,27138,180792,173059,4910,959,1864,107361,107101,260,381832
Massachusetts,2013-14,201424,97061,104363,26831,179446,172993,3985,1064,1404,106307,106073,234,380870
Massachusetts,2014-15,199096,97513,101583,27062,178979,173347,3334,1093,1205,105775,105605,170,378075
Massachusetts,2015-16,195262,98767,96495,26981,179465,174325,3032,1179,929,108688,108445,243,374727
Massachusetts,2016-17,191295,98813,92482,27170,176441,172807,1948,1122,564,110817,110585,232,367736
Massachusetts,2017-18,186069,98450,87619,27320,176672,173681,1680,1093,218,113447,113213,234,362741
Massachusetts,2018-19,180511,97191,83320,27256,176610,173512,1753,1212,133,115392,115208,184,357121
Massachusetts,2019-20,175438,96411,79027,27355,173634,171875,609,1050,100,116070,116070,0,349072
Massachusetts,2020-21,163802,92998,70804,27563,166487,164854,691,842,100,115879,115879,0,330289
Michigan,2012-13,473592,235479,238113,66650,101918,93559,6646,80,1633,21665,21159,506,575510
Michigan,2013-14,461824,239538,222286,65916,95946,88854,5544,0,1548,19906,19334,572,557770
Michigan,2014-15,449024,248824,200200,65688,85976,80187,4748,0,1041,18750,18180,570,535000
Michigan,2015-16,435931,257960,177971,66350,79883,75348,3607,0,928,18039,17631,408,515814
Michigan,2016-17,426809,269111,157698,65963,73242,70528,1593,0,1121,17021,16769,252,500051
Michigan,2017-18,413873,262888,150985,64862,62577,60203,1231,0,1143,16741,16561,180,476450
Michigan,2018-19,402635,258761,143874,64171,58143,56503,392,0,1248,16147,16128,19,460778
Michigan,2019-20,392201,252183,140018,62747,54979,52912,338,0,1729,15564,15564,0,447180
Michigan,2020-21,362355,237717,124638,61228,52474,49643,497,0,2334,14024,14024,0,414829
Minnesota,2012-13,247522,112388,135134,24768,88225,50565,35722,87,1851,91146,20794,70352,335747
Minnesota,2013-14,242062,111666,130396,24378,84263,50384,32491,60,1328,90788,20814,69974,326325
Minnesota,2014-15,235515,110160,125355,24180,82453,49566,31853,69,965,91706,21275,70431,317968
Minnesota,2015-16,232013,109001,123012,24174,78253,49030,28556,68,599,93317,21568,71749,310266
Minnesota,2016-17,228839,109041,119798,24399,75101,48933,25704,77,387,94453,21346,73107,303940
Minnesota,2017-18,225095,107829,117266,24290,72428,49102,22966,90,270,91153,21461,69692,297523
Minnesota,2018-19,220809,104391,116418,24355,72480,49757,22392,106,225,91139,21327,69812,293289
Minnesota,2019-20,217689,103234,114455,24063,71630,49682,21733,121,94,89347,20453,68894,289319
Minnesota,2020-21,209870,101484,108386,23952,72462,48757,23522,141,42,89421,20120,69301,282332
Mississippi,2012-13,141605,64045,77560,16390,13781,11275,453,0,2053,4889,4778,111,155386
Mississippi,2013-14,138512,63304,75208,16404,13564,11013,222,0,2329,5154,5033,121,152076
Mississippi,2014-15,137021,64037,72984,15075,13158,11019,208,0,1931,5474,5357,117,150179
Mississippi,2015-16,138411,65503,72908,14889,13093,11215,212,0,1666,5743,5645,98,151504
Mississippi,2016-17,138113,66918,71195,15092,13478,11908,242,0,1328,6029,5949,80,151591
Mississippi,2017-18,137716,66127,71589,14603,13687,11907,283,0,1497,5745,5669,76,151403
Mississippi,2018-19,136456,64431,72025,14127,12997,11862,442,0,693,5780,5714,66,149453
Mississippi,2019-20,134425,63293,71132,13935,12515,11612,561,0,342,6094,6030,64,146940
Mississippi,2020-21,127457,60273,67184,16219,11974,11056,524,0,394,7404,7364,40,139431
Missouri,2012-13,230947,121899,109048,26483,132361,103671,20518,1207,6965,51580,49347,2233,363308
